,Unnamed: 0,comment
106,106,"BG mau gw bagi ikan besar 1000kg gak kalau mau add friend gw BG nama gw hazizul_jijoy makasih 
1:38"
107,107,robi kok pucet kayanya cerita kaya sekawan 5 dah satu nya hantu
108,108,Aku level 22 aja belom dapet😭
109,109,Bang coba main king legacy
110,110,Nama apk yg auto  click itu ap?
111,111,Cyiakentanachi
112,112,Cyeaanmmm
113,113,hati hati hamil bang
114,114,sengaja mati demi cerita budiono siregar
115,115,strimer storytelling
116,116,Gg first time langsung dapet
117,117,Join
118,118,24:30 njir baru 1x pancing langsung GG😱
119,119,seruuuu
120,120,Kamu mancing perkoro bang
121,121,pengen di PIN dan di notice oleh kak windah
122,122,Bang lu ke menu trs on fitur bendera bang jadi lu bisa liat tmpt orang orang dapet ikan legendary sama mythic
123,123,"Ini raka siapa ya? Kok kaya, ga kismin. Rakabuming kah?"
124,124,akhirnya aku bisa bahagiakan orang tuwa aku ❤❤❤
125,125,bg mommy gran jual video 🗿
126,126,Ahirnya Raka Mencapai Cita Cita nya
127,127,mengocok 😻😂
128,128,bang griding dlu pas offline bang sampe kekumpul banyak duit beli kapal dan pancingan paling mahal bang
129,129,Yg dimaksud ikan woyo woyo itu ancient mythical spectral serpent?
130,130,39:53 😂😂😂😂
131,131,32:51 ikan isonade bang windah kan ada tuh kek pusaran angin nah jangan masuk mancing di dekat situ nanti dapat isonade cara lebih gampangnya pakai radar
132,132,31:43 wkkwkwwkwkkw raka old money
133,133,Sosis jumbo khas Pati
134,134,Betapa masuk akal nya pantun bang windah 😮
135,135,bang coba main homicipher
136,136,"Saran gw klo mau lumayan cepet dapet collosal squid :
Umpan : truffle worm
Saran enchant : Hasty
Pancingan : trident,Aurora,king,dan juga stedy
Code redeem : 100M,ThankYouFollowers"
137,137,bang kamu mirip guruku di sekolah
138,138,"Windah 🐟 ikan.  😢😢😢manaikanbusa. He 😅
😢😢😢😢😢😢🎉🎉🎉🎉😅😅😅😅😮😮😮😮😊😊😊❤❤❤❤❤❤❤88888⁸88888888888⁸888888loankaoq😅😅😅😅😅😅😅😮😮😅😮😅kaosijx ke dalam bilik itu dan ini adalah kerana mereka tidak boleh digunakan oleh guru dan iel ke dalam rumah dan iel yang paling baik untuk kesihatan tubuh badan yang paling mulia di Ipoh semalam dianggap paling penting untuk kesihatan dan kecantikan dan kesihatan pekerjaan dan yang paling baik akhlaknya baik untuk kita semua tahu dan iel yang paling penting untuk kesihatan tubuh badan kita semua dapat melihat dengan jelas dan iel 🎉🎉yang paling baik untuk kesihatan dan iel yang paling baik untuk kesihatan dan kesejahteraan serta untuk kita semua tahu bahawa mereka tidak boleh digunakan untuk kesihatan dan kecantikan dan kesihatan dan kecantikan dan kesihatan pekerjaan dan iel yang paling penting adalah integriti perlu dan e dan iel yang tidak pernah ada cadangan lain yang tidak boleh digunakan sebagai ubat yang boleh dilakukan untuk membuatkan kita mahu barang bantuan 1Malaysia dan iel ke dalam bilik darjah dan kesihatan pekerjaan yang paling baik akhlaknya dan iel yang tidak boleh digunakan sebagai bahan utama kilang dan jentera kerajaan dan kesihatan pekerjaan yang paling penting ialah mencari 😅dan 😮menyelamat 😮dan 😮e😮 😮yang tidak 😮😮pernah 😅berlaku 😅sebelum 😮dan 😮😢iel 😮ke atas 😢😮😢😢😮😮 use this form of yang di-Pertuan agong Tuanku Abdul Rahman yang juga merupakan pelaburan utama pertama dan iel yang paling baik untuk kesihatan dan kecantikan dan kesihatan pekerjaan yang paling baik untuk kesihatan"
139,139,28:18 cumi gasing jirr😂😂
140,140,Bng wind beli trident rod
141,141,4:28 wanita kesayangan kita
142,142,BANG ADA BANYAK IKAN MISTERIUS YANG PALING BESAR
143,143,cakep
144,144,"ada ikan raksasa menyala, warna hijau bang"
145,145,cara enchant gimana dah?
146,146,pamer cumi raksasa
147,147,"bang pls lanjutin game viewfinder,uda full riliss"
148,148,aku iri sama nabila kesayangan kamu bang🥺🥺
149,149,Halo bang😊
150,150,KAPAN LIVE BNG
151,151,WHYYYY GABISAA DI DOWNLOAD VIDEONYAAA 😢😢😢😢
152,152,35:54 bro terdiam 😐😐😐
153,153,Bang coba cari pusaran air terus masuk bang
154,154,pantun bersajak a-a-b-b
155,155,Bang abang bisa mancing sambil kemudiin pperahunya😅
156,156,"Bang, aku ketiduran dengerin dongengmu🥱"
157,157,bang aku mancing di sungai kok ga dapet colossal squid sih bang
158,158,"bang nanti raka akan dipromosikan oleh ayahnya menjadi pemimpin kru dengan cara yang melanggar peraturan bang walaupun raka tidak layak, karena ayah raka dulunya adalah pemimpin kru tersebut"
159,159,fischbach
160,160,Next kumpulin 50.000 buat beli pancingan di roslit atau gak beli king rod 110.000 buat dapetin ikan besar
161,161,SEMOGA CEPET GK RUBUH KTA DIA
162,162,Gw kalau main game ini playernya 1%mani ng 99% pamer ikan
163,163,Kurang kecil bg suara ny
164,164,Mancing Leviatan bg
165,165,Bang bisa ke di donload
166,166,Bang nama Roblox bang siapa
167,167,gg bang
168,168,End nya malah teripang Fadel tol Cipularang
169,169,Bg mau magma rod ga bg gw tau nih
170,170,siapa yang suka mancing
171,171,Cumi bisa jadi seafood ya ? saya alergi cumi ...
172,172,Bang aku suka gran
173,173,50:50 mati wkwk😂
174,174,Bg pliss nanti malam/sore main game fisch lagi bg gamenya seru dan santai banget🎉
175,175,Aku dapet peta harta karun di level 3 bagus ga? 😁
176,176,Halo
177,177,"masak in cumi"" nya bang"
178,178,bang aku sama kaget nya pas kamu dpt cumi raksasa 😮
179,179,"26:52   wah, mantap bang windah dapet cumi-cumi raksasa🤩🎉👍"
180,180,raka sultan gabut
181,181,raka daripada menjadi pemancing legendaris lebih baik jadi pengangguran yang suka nonton yutuber maen game mancing
182,182,Ayon item Lo bg
183,183,wow
184,184,26:16 epic moment + kayaknya cumi-cumi raksasa deh😮🤩
185,185,Bang coba kamu dapatkan jelifish emperor katanya itu ikan paling susah ditangkap
186,186,Bg masih ada ikan yg lebih gede dari pada cumi raksasa
187,187,next dapet paus lah bang
188,188,"Bang, bapaknya Raka presiden di negeri Ahonok"
189,189,Seru banget liat kamu mancing di Roblox bang sambil aku mancing di sungai belakang rumah
190,190,Main blox fruit kpn bng
191,191,26:50 cumi² pertama raka
192,192,Bg main lagi
193,193,Budiono Siregar adalah legenda laut nort sea
194,194,Banggg Mainin Haikyuu Touch The Dream
195,195,Kenapa gk bisa di dowload vidionya bang padahal mau liat ofline
196,196,Bang kata kawan gw ada bom atom juga di fisch
197,197,RIP WINDAH SIMULATOR BASUDARA 😢
198,198,Gg bocil pun bahagia
199,199,Lagu kebangsaan bang windah🗿
200,200,50:00
201,201,49:27
202,202,Ditunggu part 2 ya bg
203,203,gg kamu raka😮
204,204,Bang Raka orang kaya ternyata
205,205,2:45 udah roboh kocak
206,206,Tet teret teret tet teret teret teret teret teretettt
207,207,gg bang windows aku bangga
208,208,Akhirnya Amba raka menangkap ikan besar😨
209,209,35:50
210,210,Aku memancing dan mendapatkan IKAN TONGKOL😢
211,211,Main the witcher 3 bang
212,212,El-pamer terdiam wkwk
213,213,"Bang windah, bisa tolong aku ga, akun nyokap gua di retas dana ny di retas dana Tik tok juga di retas, jdi gua minta tolong ke bang windah soalnya ga tau lgi mau minta tolong ke mana, 😢 kalo ga bisa gpp bang 😢"
214,214,Ikan madura rivalnya raka
215,215,Bg the mimic ada chapter baru
216,216,Wnda kena mental cuy😂
217,217,gg win
218,218,"bang, bossnya ayah raka pernah mengatakan sebuah pancingan yang sangat dahsyat, terdapat di kedalaman laut, untuk mendapatkannya bang windah butuh 750k duit+relik hexed dan relik abyysal. dan jika bang windah sudah mendapatkan pancingan dahsyat itu, ikan woyo woyo ataupun ikan paus putih akan takut jika melihat pancingan itu."
219,219,Dada gue sakit
220,220,Dada gue sakit
221,221,ditunggu mancing ancieny depth serpenynya bang 👍👍
222,222,"Raka, kamu harus semangat untuk mencari harta Karun nya, karena ayah mu mewarisi pancingan legend di harta Karun itu, dan harta Karun itu ada 100"
223,223,Ada ikan ambalodon
224,224,"plot twist sebenarnga ayah raka adalah sahabat budiono siregar dan pancingan yg dikasih ke raka sebenarnya pemberian dari budiono siregar fakta itu terungkap setelah raka menemukan catatan di bawah cumi cumi raksasa.akhirnya raka memutuskan untuk menjadi pemancing terhebat sepanjang masa melampaui budiono siregar dan suatu saat akan mengembalikan pancingnya ke budiono siregar.

what a story"
225,225,Seneng bet bng brando main ini lagi...:)
226,226,Ambaraka
227,227,Lanjutkan blox fruit bang
228,228,akhirnya windah main fisch lagi 😊❤
229,229,gg bang tpi kamu brisik
230,230,Pergi ke danau untung menangkap hiu brando yeyeye🎉🎉🎉🎉
231,231,Bang Cita cita nya mana😢
232,232,26:39 cumi bibisi
233,233,Ilham kemana bng?
234,234,Bang min 50 robux
235,235,Sapa aku bang 👋
236,236,Bang ada leviathan bang di game ini
237,237,B aja
238,238,udah dibilangin jangan ambil harta karun chance pancingannya kecil ngeyel
239,239,ikan cupang lima
240,240,😢selamat pagi bang windh dan slmat mlem Minggu akhirnya main roblok juga
241,241,streamer dongeng
242,242,Bang coba main blok fruit
243,243,kecewa parah:(
244,244,"10000
Qghhgj
🎉
🎉
🎉"
245,245,"Semangat bang Windah live streamingnya❤
❤❤❤"
246,246,bg
247,247,Bang tangkap hiu madura
248,248,Like aku 1000 aku diet 1 bulan
249,249,"Raka adalah cucu dari pramowo dan anak dari mulyono, 2 pemancing legendaris yang pernah menemukan ikan legendaris woro2, di akhir hayat nya terlibat dengan kerusuhan antara nelayan dan ras ikan hiu madura sehingga namanya di hapus dari sejarah karna keterlibatan nya di kerusuhan tersebut. Sebelum meninggal, kakek pramowo dan bapak mulyono menyatakan bahwa ikan woro2 itu nyata dan membuat raka ingin membuktikan dan mengembalikan kejayaan leluhurnya. Selagi raka mencari ikan legendaris yang bisa mengguncang dunia, keturunan terakhir ikan hiu madura mencari jalan untuk balas dendam akan pembantaian ras nya."
250,250,banngg akuu rindduu GRANN
251,251,bg lanjutin main game fighting school simulator
252,252,BANG COBA MAIN GAME THE MIMIC DI ROBLOX SUMPAH BIKIN JANTUNG GA AMANN
253,253,Bang terima pertemanan bang
254,254,Bang coba main game ini pake outfit nelayan bang
255,255,Kapan blox fruit woi
256,256,gg bg
257,257,bang lanjut tin main kantin sekolah simulator kayak nya ada update plisss bang seru banget nonton bang windah main katin skolah simulator
258,258,Bang setiap main roblox sekarang kok gabisa didownload 😢
259,259,Beli pancing baru bg
260,260,52:39
261,261,akun goblox aku di hack orang bang🤬🤬
262,262,Bangg coba main homocipher semoga di bolehin
263,263,😂
264,264,gg bang windah bentar lagi 15 juta subss
265,265,G
266,266,Bang kamu ikan jenis apa?
267,267,1:47 ini lagunya apa bang
268,268,ya vid nya ga bisa di download🥲
269,269,"Menit 10:57  ke belakang keknya ada yang jawab iya, denger ga?

50:36 itu juga ada yang ngomong 'saya\sela?"
270,270,gg
271,271,gg
272,272,kamu penyefong game fomo bnag
273,273,Bang react skibidi toilet bang
274,274,Bang coba dapetin Leviathan
275,275,dapat cumi yeey
276,276,Selalu pake umpan bang
277,277,Bang windah kenapa dulunya tidak main roblox
278,278,hlloo bngg winnn
279,279,Intro nya Garing Bg
280,280,telat gaa bang?
281,281,Bangga mAma mu bg
282,282,Assalamu'alaikum Warohmatullahi Wabarokatuh
283,283,Jangan Toxic bg.
284,284,Bang mancing hiu gojila
285,285,Bang vid nya gak bisa di download
286,286,Tega kamu bang
287,287,Game Kungfu simulator terlupakan
288,288,Bg lanjutin mancing mendapatkan semua ikan dan menjadi raja lautan
289,289,"Sarann bgg kalo mau main fisch bukaa privat server nyaa biar viwer bisaa kasih tau kamuuu bang ikan yang besar"""
290,290,emang bapaknya raka udh meninggal? bukannya lagi di solo? 😢
291,291,game psht simulator terlupalan😢😞
292,292,Siapa di sini suka cumi2🎉
293,293,MAIN ANIME TOWER DEFENSE DI ROBLOX DONG BANG
294,294,RADIPOANJIKJIK
295,295,Bang pliss tangkep ikan kontoLodon
296,296,jarjit menangis di pojokan denger pantun mu bg
297,297,BENTAR BANGETT BANG YAAMPUN GUSTI NU AGUNGG
298,298,wuiih trending....... jadi pgn ngonten map ini....
299,299,mancing perkoro rek
300,300,Pantun nya keren bg😂
301,301,Bang lanjutkan main game capybara go plis
302,302,☕🚬🗿
303,303,"Dari kemaren² nunggu, akhirnya lanjut juga😅"
304,304,Kenapa gabisa di download si bang yampun
305,305,Bang main game kutukan dijamin enak atau the curse bahasa inggrisnya
306,306,Memang paling enak nonton bg Brando sambil makan mie 🤩🤩🤩
307,307,Game yg bikin goobox bang yuwan 😂jgn lupa ngopi bang 😂
308,308,27:40 😲😲😲😲
309,309,Pendongeng Handal
310,310,Flying dutchman 😭
311,311,Bang main share lock tak parani bang
312,312,"Raka the legendary fisherman
ABSOLUTE CINEMA"
313,313,cumi sambel terasi 🗿
314,314,orang tua sepertimu gacocok main roblokkk
315,315,Jual bg dpt 100k😂
316,316,"Kamu yang nonton ini pas makan,
Kata kunci Ujang Kedu.
Aowkkwkw makan yang banyak yaa"
317,317,Aku lihatnya pas malam bang 😢
318,318,"""ya tuhan, yaallah""  salan toleransi bang brando"
319,319,RAKA : ORANG KAYA
320,320,wihh trending trs cuy 😮😮
321,321,"35:56 niatnya mau ngasih paham,malah dikasih paham😂"
322,322,selamat raka(buming raka) atas cumi raksasanya
323,323,next beli pancingan aurora rod / mythical rod bang buat farming. tapi lebih bagus aurora rod sih buat farming. tapi harus punya aurora borealis harganya 500k kalo mau aku kasih bang gratis. habis itu beli trident rod bang syaratnya lengkapin bestiary/ikan di desolate deep. terus dapetin the depth rod pancingan paling OP untuk saat ini. karena pancingannya bisa ngeluarin bunshin dan bisa ikut dapetin ikan juga bayangannya
324,324,Terimakasih bang Windah udh ngelanjutin fisch🤗🤗
325,325,"New Event

Mosewood   : Claw Gill, Fossil Fan, Barracuda Spine
Rosilt     : Spine Blade, Shark Fang, Spine Bone
Mushgrove  : Nessie Spine
Snowcap    : Spined Fin
Forsaken   : Ancient Serpent Skull, Ancient Serpent Spine

Kalau Udah Semua go to Dr Finneus untuk dapetin Handwritten Note lalu jalan kearah NE sampai menuju (Uncharted Island) dan tentukan puzzle sesuai di Handwritten Note"
326,326,Semangat bg ke 15jt subscribers nya🔥🔥
327,327,woi aku aja yg mythical rod belum dapet colosal😂
328,328,itu gimana cara tahu waktu dan lokasi server?
329,329,Halo bang winda aku udah dapat yang aku ingin kan Dari dulu ia itu ikan kayak bang winda cumi2 Alaskar makasih bang theory nya bang sehat selalu ya gua Dari Malaysia ya bang ok bang winda dada Amin bang Amin
330,330,bjirr dapett
331,331,bang aku cinta noviani❤
332,332,Gelooo ❤
333,333,yey gem roblok lagi😊
334,334,35:28 aku jga mw 😋
335,335,masi cupu aku aja ydah level 500 dan mempunyai fish no life🥱🥱 es game
336,336,bang aku lebih suka kisah Raka daripada game anomali
337,337,ayo bang next time dapetin mutated shark
338,338,1:55 ada yg tau nama backsong ny?
339,339,Bang kamu harus ungkap misteri ikan woyo woyo supaya ayah raka bangga
340,340,2:18
341,341,"Bang ungkap semua ending *""five heart under one roof""*😊😊😊😊"
342,342,gua tertarik main gem vice ini bang
343,343,bang selamat ya mau 15 jt subs ❤❤
344,344,35:28 sus bgttt
345,345,Makasih 100 susbsribe nya orang baik ❤
346,346,motel kapan woyy🤬🤬
347,347,"Main Roblox bikin goblok
Nontonin brando makin goblok"
348,348,cumi besar alaska 😨😨😨
349,349,Subscriber lu cepet bet naik
350,350,wkwkwk
351,351,Bg gak pake ava hiu bgggggggggggg
352,352,😂😂 0:06 0:06
353,353,pls jadiin series bang
354,354,Bang aku sekarang jd ngefans sama bu D ono
355,355,Nama panjang Raka adalah Gibran Rakabuming raka
356,356,bikin buku tentang Raka bg
357,357,Bang Fisch update bang
358,358,Sekarang bapaknya raka mau paus
359,359,melanjutkan kisah raka
360,360,Orang gila mana yg narik kolosal squid pke rod bapuk
361,361,pls buatin animasi buat cerita budiono siregar
362,362,"1:04:05 anjay,viewers bohong?sosis yang bohong"
363,363,Blok fruits terlupakan
364,364,Bang main game mouthwashing lagi plissss😢
365,365,udah yapping nya?
366,366,Bang coba main blood strike
367,367,Ente yakin dia live?
368,368,cumi jumbo🧏🏻‍♀️🦑
369,369,Bang kok gak bisa di download vidio nya😢
370,370,"bang dapetin ikan terbesar bang Nessie sama isodane,kalo dh dapat pigi ken the depths bg"
371,371,bang ancient depth serpent jadiin ikan woyo woyo bang. ancient depth serpent susah didapetin dan dia harus di tempat the depths dan harus di malam yang paling gelap.
372,372,jual ke seafod bakaran aja cumi nya🗿
373,373,"rekomendasi ikan mythic dan tempat nya buat windah dapetin nanti di live selanjutnya yg masih lumayan gampang lah ada

captain goldfish di forsaken shores di atas tempat nya merchant dan lain lain kan ada tempat ke atas naek terus ada air terjun mancing disana pasti dapet sama manta ray ada di roslit bay bisa di mana aja"
374,374,"bang beli rod baru bang, di the depth"
375,375,"gg bang, besok pecahkan teori mancing godzila"
376,376,kok bukan hiu madura
377,377,❤
378,378,"FATIMAH
NAMANYA:😇
PERANGAINYA:😈"
379,379,bang windah imup :D
380,380,🙂👍👍👍
381,381,aku cinta raka
382,382,Yg ngomong dapet cumi raksasa butuh aurora totem siapa njir
383,383,26:50 gg bang
384,384,banh alligator di mushgrove swamp harus ditangkap bng
385,385,Haloo
386,386,Bg kamu gg
387,387,si raka kenapa gusy????
388,388,Gk bisa didownload vidionya😢😢😢😢😢
389,389,Hi
390,390,Halo bang
391,391,Bang main game until then dong plis
392,392,Agak kecewa karena full jalan jalan simulator kagak mancing mancing 😮‍💨
393,393,WKWKWKW NIAT PAMER MALAH KENA ULTI BOCIL BOCIL PAMER 😭😭😭
394,394,fice
395,395,Bang coba main a universal time di roblox
396,396,Window
397,397,Stardew valley kapan😢😢
398,398,GG Raka sang anak nelayan...
399,399,Bang kamu wajib cobain game mancing yg ada diplaystore namanya creature of the deep mirip sama game ini
400,400,43:46
401,401,Pantun kamu gak nyambung bang windah
402,402,big black what?? 😮
403,403,Cumi terbang
404,404,Bang main dragon nest
405,405,bang kapan main fc mobile lagi
406,406,Bang windah request main game stalker 2 bang
407,407,27:41 finnalyyyyyyyyy
408,408,"""Fi ce"""
409,409,BANG MUKAMU PUCET BANGET WAKTU MANCING CUMI RAKSASA
410,410,"itu rumah gua gais yg roboh yg dibilang bang windah diawal aokwowk, doain cpt beres y adick adick roblok😝"
411,411,"pergi ke danau memancing ikan
berjemur matahari menjadi hitam
hai bocil roblox yg tampan
jangan bermain roblox malam malam"
412,412,0:20masa 😢
413,413,BG AK NONTONNYA SAMBIL MAKAN CUMI CUMI RAKSASA MASAK HYTAM😋😋😋
414,414,"Bang main di server jaya pura indahlah review senjata custom,ada skil skillnya"
415,415,Fight school simulator nyaa mana bangg
416,416,kecewa saya sama Abang kok saya mau download video Abang kok gak bisa
417,417,cumi cuminya besar kayak punya aku🤭
418,418,pantun ny bagus bg sy suka sy suka
419,419,kmprtt pdhl mntk lepas ak cumi itu ai dahh
420,420,Tempat baru namanya the depth bang windah disana Ada pancing baru namanya rod of the depth harga 750 ribu uang game bang windah
421,421,"bang jadi lanjutin game alomani ga, aku nungguin ia bang"
422,422,Ng kapan main gem blox fruit
423,423,"Bang coba main game ash echoes bang, game RPG yang bagus 🙏"
424,424,Itu yang pusar warna putih itu kalo pancing di situ bisa dapet ikan besar bang
425,425,"Aku bkan bocah roblox 
Tapi aku cuma nonton doang"
426,426,cari leviatan bang
427,427,36:06 puncak komedi wkwkw😂🗿
428,428,paling posibble ikan serpent bawah laut desolate deep
429,429,apasi bang pantun nya ga gitu
430,430,Diteluk rosylit ada ikan pari sama gurita gemoy bang
431,431,yang susah ikan cumi snowcap ikan spectral serpent di desolate deep ikan paus event sama jellyfish di desolate deep juga
432,432,mencet apa itu bang biar ga harus nge klik pas di kocok
433,433,Udah selesai ya live nya😭
434,434,mana avatar ikan kematian mu bang
435,435,Batu
436,436,Maen game pixel lgi bang🥰🙏
437,437,Berarti lu gobloxs juga dong bang
438,438,Itu
439,439,ambalodon itu nyata bangggg
440,440,Minta dong Winda
441,441,Mita
442,442,"bg main dress to impress lagi ada update, btw aku cewek bang"
443,443,Itu😊
444,444,Game aku
445,445,Game apa
446,446,BG MAIN GAME STALKER2 CHERNOBYL
447,447,"""Raka bangga dengan penangkapan mitos Cumi raksasa, walau ikan woyo woyo belum terungkap, Raka sudah mendekati tahap mengungkapi ikan woyo woyo.."""
448,448,grind xp di forsaken shores (pond) untuk xp
449,449,berburu godzilla bang di the depths
450,450,seru bg
451,451,"Hi bang maaf gak ajak live 😅
                                                 🙏🏻"
452,452,"Hi bang maaf gak ajak live 😅
                                                 🙏🏻"
453,453,"bg coba main fishing planet,itu ada disteam dan gratis,menurutku lumyn seru dan grinding bgt"
454,454,35:28 Epik Moment
455,455,Kapan pvz lagi bang
456,456,raka the movie
457,457,Main Game soul land bang
458,458,"1:05:15 gw kemarin juga dapet bbc 
Bg"
459,459,baru kemaren bilang BG kapan lanjut fisch eh yeyy di lanjut😂
460,460,GG raka bang
461,461,KAPANNN FC MOBILE BANGG ASTAGAA
462,462,Cie mau 15 JT sub😋
463,463,lengkapin semuaa scene bang di game five hearts under one rooff
464,464,raka pay to win aowkoakwdkaowd
465,465,"Kamu melupakan legenda Sukma Dika, satu satu nya eksistensi yang mampu melawan tarikan jor dari seorang Budiono Siregar"
466,466,bang kamu pengocok handal
467,467,"Kata kata keramat ""hahaha punya gk""😂"
468,468,Bg gw bisa kasih lu duit 250k Dan enchant relic 5 tar gw bantuin lu dapetin trident rod
469,469,bang jangan pakai baju item ga kelihatan
470,470,kamu GG bang
471,471,aku pernah pas mancing terus di tarik kraken. kraken nya skrg jadi khodam aku
472,472,Eun-bi🤤
473,473,Bang coba main creatures of the deep
474,474,bang coba main game agung Arip yg terbaru  dong
475,475,KAPAL LAWD
476,476,gg bang🎉
477,477,"Bg pecahkan misteri nessy,dan hiu Godzilla 🔥"
478,478,"AKU TELAT BANGGGGGGGGG, BARU PULANGGGGGGGGGGGGGG"
479,479,Bang kumbek coc bg
480,480,Bang coba mainbang coba main satalker 2 seru game nya dari miawaug
481,481,hlo
482,482,33:29  ada bang serius lu harus ke pusaran aneh abis tu ke paling bawah buat mancing kunci raksasa warna merah nah abis tu lu harus buka pintu gede pake kunci gede yang tadi nah abis tu jalan aja nah Lu di situ mancing aja bisa dapet lele jumbo atau gak Godzilla
483,483,Memancing perkoro
484,484,game jelek ini bang windah
485,485,"windah kata kata 🥰🥰😘💅
windah morivasi😈😈💀☠️"
