,Unnamed: 0.1,Unnamed: 0,comment
136,136,136,saran gw klo mau lumayan cepet dapet collosal squid umpan  truffle wormsaran enchant  hastypancingan  tridentaurorakingdan juga stedycode redeem  100mthankyoufollowers
137,137,137,bang kamu mirip guruku di sekolah
138,138,138,windah  ikan  manaikanbusa he 8888888888888888888888loankaoqkaosijx ke dalam bilik itu dan ini adalah kerana mereka tidak boleh digunakan oleh guru dan iel ke dalam rumah dan iel yang paling baik untuk kesihatan tubuh badan yang paling mulia di ipoh semalam dianggap paling penting untuk kesihatan dan kecantikan dan kesihatan pekerjaan dan yang paling baik akhlaknya baik untuk kita semua tahu dan iel yang paling penting untuk kesihatan tubuh badan kita semua dapat melihat dengan jelas dan iel yang paling baik untuk kesihatan dan iel yang paling baik untuk kesihatan dan kesejahteraan serta untuk kita semua tahu bahawa mereka tidak boleh digunakan untuk kesihatan dan kecantikan dan kesihatan dan kecantikan dan kesihatan pekerjaan dan iel yang paling penting adalah integriti perlu dan e dan iel yang tidak pernah ada cadangan lain yang tidak boleh digunakan sebagai ubat yang boleh dilakukan untuk membuatkan kita mahu barang bantuan 1malaysia dan iel ke dalam bilik darjah dan kesihatan pekerjaan yang paling baik akhlaknya dan iel yang tidak boleh digunakan sebagai bahan utama kilang dan jentera kerajaan dan kesihatan pekerjaan yang paling penting ialah mencari dan menyelamat dan e yang tidak pernah berlaku sebelum dan iel ke atas  use this form of yang dipertuan agong tuanku abdul rahman yang juga merupakan pelaburan utama pertama dan iel yang paling baik untuk kesihatan dan kecantikan dan kesihatan pekerjaan yang paling baik untuk kesihatan
139,139,139,2818 cumi gasing jirr
140,140,140,bng wind beli trident rod
141,141,141,428 wanita kesayangan kita
142,142,142,bang ada banyak ikan misterius yang paling besar
143,143,143,cakep
144,144,144,ada ikan raksasa menyala warna hijau bang
145,145,145,cara enchant gimana dah
146,146,146,pamer cumi raksasa
147,147,147,bang pls lanjutin game viewfinderuda full riliss
148,148,148,aku iri sama nabila kesayangan kamu bang
149,149,149,halo bang
150,150,150,kapan live bng
151,151,151,whyyyy gabisaa di download videonyaaa 
152,152,152,3554 bro terdiam 
153,153,153,bang coba cari pusaran air terus masuk bang
154,154,154,pantun bersajak aabb
155,155,155,bang abang bisa mancing sambil kemudiin pperahunya
156,156,156,bang aku ketiduran dengerin dongengmu
157,157,157,bang aku mancing di sungai kok ga dapet colossal squid sih bang
158,158,158,bang nanti raka akan dipromosikan oleh ayahnya menjadi pemimpin kru dengan cara yang melanggar peraturan bang walaupun raka tidak layak karena ayah raka dulunya adalah pemimpin kru tersebut
159,159,159,fischbach
160,160,160,next kumpulin 50000 buat beli pancingan di roslit atau gak beli king rod 110000 buat dapetin ikan besar
161,161,161,semoga cepet gk rubuh kta dia
162,162,162,gw kalau main game ini playernya 1mani ng 99 pamer ikan
163,163,163,kurang kecil bg suara ny
164,164,164,mancing leviatan bg
165,165,165,bang bisa ke di donload
166,166,166,bang nama roblox bang siapa
167,167,167,gg bang
168,168,168,end nya malah teripang fadel tol cipularang
169,169,169,bg mau magma rod ga bg gw tau nih
170,170,170,siapa yang suka mancing
171,171,171,cumi bisa jadi seafood ya  saya alergi cumi 
172,172,172,bang aku suka gran
173,173,173,5050 mati wkwk
174,174,174,bg pliss nanti malamsore main game fisch lagi bg gamenya seru dan santai banget
175,175,175,aku dapet peta harta karun di level 3 bagus ga 
176,176,176,halo
177,177,177,masak in cumi nya bang
178,178,178,bang aku sama kaget nya pas kamu dpt cumi raksasa 
179,179,179,2652   wah mantap bang windah dapet cumicumi raksasa
180,180,180,raka sultan gabut
181,181,181,raka daripada menjadi pemancing legendaris lebih baik jadi pengangguran yang suka nonton yutuber maen game mancing
182,182,182,ayon item lo bg
183,183,183,wow
184,184,184,2616 epic moment  kayaknya cumicumi raksasa deh
185,185,185,bang coba kamu dapatkan jelifish emperor katanya itu ikan paling susah ditangkap
186,186,186,bg masih ada ikan yg lebih gede dari pada cumi raksasa
187,187,187,next dapet paus lah bang
188,188,188,bang bapaknya raka presiden di negeri ahonok
189,189,189,seru banget liat kamu mancing di roblox bang sambil aku mancing di sungai belakang rumah
190,190,190,main blox fruit kpn bng
191,191,191,2650 cumi pertama raka
192,192,192,bg main lagi
193,193,193,budiono siregar adalah legenda laut nort sea
194,194,194,banggg mainin haikyuu touch the dream
195,195,195,kenapa gk bisa di dowload vidionya bang padahal mau liat ofline
196,196,196,bang kata kawan gw ada bom atom juga di fisch
197,197,197,rip windah simulator basudara 
198,198,198,gg bocil pun bahagia
199,199,199,lagu kebangsaan bang windah
200,200,200,5000
201,201,201,4927
202,202,202,ditunggu part 2 ya bg
203,203,203,gg kamu raka
204,204,204,bang raka orang kaya ternyata
205,205,205,245 udah roboh kocak
206,206,206,tet teret teret tet teret teret teret teret teretettt
207,207,207,gg bang windows aku bangga
208,208,208,akhirnya amba raka menangkap ikan besar
209,209,209,3550
210,210,210,aku memancing dan mendapatkan ikan tongkol
211,211,211,main the witcher 3 bang
212,212,212,elpamer terdiam wkwk
213,213,213,bang windah bisa tolong aku ga akun nyokap gua di retas dana ny di retas dana tik tok juga di retas jdi gua minta tolong ke bang windah soalnya ga tau lgi mau minta tolong ke mana  kalo ga bisa gpp bang 
214,214,214,ikan madura rivalnya raka
215,215,215,bg the mimic ada chapter baru
216,216,216,wnda kena mental cuy
217,217,217,gg win
218,218,218,bang bossnya ayah raka pernah mengatakan sebuah pancingan yang sangat dahsyat terdapat di kedalaman laut untuk mendapatkannya bang windah butuh 750k duitrelik hexed dan relik abyysal dan jika bang windah sudah mendapatkan pancingan dahsyat itu ikan woyo woyo ataupun ikan paus putih akan takut jika melihat pancingan itu
219,219,219,dada gue sakit
220,220,220,dada gue sakit
221,221,221,ditunggu mancing ancieny depth serpenynya bang 
222,222,222,raka kamu harus semangat untuk mencari harta karun nya karena ayah mu mewarisi pancingan legend di harta karun itu dan harta karun itu ada 100
223,223,223,ada ikan ambalodon
224,224,224,plot twist sebenarnga ayah raka adalah sahabat budiono siregar dan pancingan yg dikasih ke raka sebenarnya pemberian dari budiono siregar fakta itu terungkap setelah raka menemukan catatan di bawah cumi cumi raksasaakhirnya raka memutuskan untuk menjadi pemancing terhebat sepanjang masa melampaui budiono siregar dan suatu saat akan mengembalikan pancingnya ke budiono siregarwhat a story
225,225,225,seneng bet bng brando main ini lagi
226,226,226,ambaraka
227,227,227,lanjutkan blox fruit bang
228,228,228,akhirnya windah main fisch lagi 
229,229,229,gg bang tpi kamu brisik
230,230,230,pergi ke danau untung menangkap hiu brando yeyeye
231,231,231,bang cita cita nya mana
232,232,232,2639 cumi bibisi
233,233,233,ilham kemana bng
234,234,234,bang min 50 robux
235,235,235,sapa aku bang 
236,236,236,bang ada leviathan bang di game ini
237,237,237,b aja
238,238,238,udah dibilangin jangan ambil harta karun chance pancingannya kecil ngeyel
239,239,239,ikan cupang lima
240,240,240,selamat pagi bang windh dan slmat mlem minggu akhirnya main roblok juga
241,241,241,streamer dongeng
242,242,242,bang coba main blok fruit
243,243,243,kecewa parah
244,244,244,10000qghhgj
245,245,245,semangat bang windah live streamingnya
246,246,246,bg
247,247,247,bang tangkap hiu madura
248,248,248,like aku 1000 aku diet 1 bulan
249,249,249,raka adalah cucu dari pramowo dan anak dari mulyono 2 pemancing legendaris yang pernah menemukan ikan legendaris woro2 di akhir hayat nya terlibat dengan kerusuhan antara nelayan dan ras ikan hiu madura sehingga namanya di hapus dari sejarah karna keterlibatan nya di kerusuhan tersebut sebelum meninggal kakek pramowo dan bapak mulyono menyatakan bahwa ikan woro2 itu nyata dan membuat raka ingin membuktikan dan mengembalikan kejayaan leluhurnya selagi raka mencari ikan legendaris yang bisa mengguncang dunia keturunan terakhir ikan hiu madura mencari jalan untuk balas dendam akan pembantaian ras nya
250,250,250,banngg akuu rindduu grann
251,251,251,bg lanjutin main game fighting school simulator
252,252,252,bang coba main game the mimic di roblox sumpah bikin jantung ga amann
253,253,253,bang terima pertemanan bang
254,254,254,bang coba main game ini pake outfit nelayan bang
255,255,255,kapan blox fruit woi
256,256,256,gg bg
257,257,257,bang lanjut tin main kantin sekolah simulator kayak nya ada update plisss bang seru banget nonton bang windah main katin skolah simulator
258,258,258,bang setiap main roblox sekarang kok gabisa didownload 
259,259,259,beli pancing baru bg
260,260,260,5239
261,261,261,akun goblox aku di hack orang bang
262,262,262,bangg coba main homocipher semoga di bolehin
263,263,263,
264,264,264,gg bang windah bentar lagi 15 juta subss
265,265,265,g
266,266,266,bang kamu ikan jenis apa
267,267,267,147 ini lagunya apa bang
268,268,268,ya vid nya ga bisa di download
269,269,269,menit 1057  ke belakang keknya ada yang jawab iya denger ga5036 itu juga ada yang ngomong sayasela
270,270,270,gg
271,271,271,gg
272,272,272,kamu penyefong game fomo bnag
273,273,273,bang react skibidi toilet bang
274,274,274,bang coba dapetin leviathan
275,275,275,dapat cumi yeey
276,276,276,selalu pake umpan bang
277,277,277,bang windah kenapa dulunya tidak main roblox
278,278,278,hlloo bngg winnn
279,279,279,intro nya garing bg
280,280,280,telat gaa bang
281,281,281,bangga mama mu bg
282,282,282,assalamualaikum warohmatullahi wabarokatuh
283,283,283,jangan toxic bg
284,284,284,bang mancing hiu gojila
285,285,285,bang vid nya gak bisa di download
286,286,286,tega kamu bang
287,287,287,game kungfu simulator terlupakan
288,288,288,bg lanjutin mancing mendapatkan semua ikan dan menjadi raja lautan
289,289,289,sarann bgg kalo mau main fisch bukaa privat server nyaa biar viwer bisaa kasih tau kamuuu bang ikan yang besar
290,290,290,emang bapaknya raka udh meninggal bukannya lagi di solo 
291,291,291,game psht simulator terlupalan
292,292,292,siapa di sini suka cumi2
293,293,293,main anime tower defense di roblox dong bang
294,294,294,radipoanjikjik
295,295,295,bang pliss tangkep ikan kontolodon
296,296,296,jarjit menangis di pojokan denger pantun mu bg
297,297,297,bentar bangett bang yaampun gusti nu agungg
298,298,298,wuiih trending jadi pgn ngonten map ini
299,299,299,mancing perkoro rek
300,300,300,pantun nya keren bg
301,301,301,bang lanjutkan main game capybara go plis
302,302,302,
303,303,303,dari kemaren nunggu akhirnya lanjut juga
304,304,304,kenapa gabisa di download si bang yampun
305,305,305,bang main game kutukan dijamin enak atau the curse bahasa inggrisnya
306,306,306,memang paling enak nonton bg brando sambil makan mie 
307,307,307,game yg bikin goobox bang yuwan jgn lupa ngopi bang 
308,308,308,2740 
309,309,309,pendongeng handal
310,310,310,flying dutchman 
311,311,311,bang main share lock tak parani bang
312,312,312,raka the legendary fishermanabsolute cinema
313,313,313,cumi sambel terasi 
314,314,314,orang tua sepertimu gacocok main roblokkk
315,315,315,jual bg dpt 100k
316,316,316,kamu yang nonton ini pas makankata kunci ujang keduaowkkwkw makan yang banyak yaa
317,317,317,aku lihatnya pas malam bang 
318,318,318,ya tuhan yaallah  salan toleransi bang brando
319,319,319,raka  orang kaya
320,320,320,wihh trending trs cuy 
321,321,321,3556 niatnya mau ngasih pahammalah dikasih paham
322,322,322,selamat rakabuming raka atas cumi raksasanya
323,323,323,next beli pancingan aurora rod  mythical rod bang buat farming tapi lebih bagus aurora rod sih buat farming tapi harus punya aurora borealis harganya 500k kalo mau aku kasih bang gratis habis itu beli trident rod bang syaratnya lengkapin bestiaryikan di desolate deep terus dapetin the depth rod pancingan paling op untuk saat ini karena pancingannya bisa ngeluarin bunshin dan bisa ikut dapetin ikan juga bayangannya
324,324,324,terimakasih bang windah udh ngelanjutin fisch
325,325,325,new eventmosewood    claw gill fossil fan barracuda spinerosilt      spine blade shark fang spine bonemushgrove   nessie spinesnowcap     spined finforsaken    ancient serpent skull ancient serpent spinekalau udah semua go to dr finneus untuk dapetin handwritten note lalu jalan kearah ne sampai menuju uncharted island dan tentukan puzzle sesuai di handwritten note
326,326,326,semangat bg ke 15jt subscribers nya
327,327,327,woi aku aja yg mythical rod belum dapet colosal
328,328,328,itu gimana cara tahu waktu dan lokasi server
329,329,329,halo bang winda aku udah dapat yang aku ingin kan dari dulu ia itu ikan kayak bang winda cumi2 alaskar makasih bang theory nya bang sehat selalu ya gua dari malaysia ya bang ok bang winda dada amin bang amin
330,330,330,bjirr dapett
331,331,331,bang aku cinta noviani
332,332,332,gelooo 
333,333,333,yey gem roblok lagi
334,334,334,3528 aku jga mw 
335,335,335,masi cupu aku aja ydah level 500 dan mempunyai fish no life es game
336,336,336,bang aku lebih suka kisah raka daripada game anomali
337,337,337,ayo bang next time dapetin mutated shark
338,338,338,155 ada yg tau nama backsong ny
339,339,339,bang kamu harus ungkap misteri ikan woyo woyo supaya ayah raka bangga
340,340,340,218
341,341,341,bang ungkap semua ending five heart under one roof
342,342,342,gua tertarik main gem vice ini bang
343,343,343,bang selamat ya mau 15 jt subs 
344,344,344,3528 sus bgttt
345,345,345,makasih 100 susbsribe nya orang baik 
346,346,346,motel kapan woyy
347,347,347,main roblox bikin gobloknontonin brando makin goblok
348,348,348,cumi besar alaska 
349,349,349,subscriber lu cepet bet naik
350,350,350,wkwkwk
351,351,351,bg gak pake ava hiu bgggggggggggg
352,352,352, 006 006
353,353,353,pls jadiin series bang
354,354,354,bang aku sekarang jd ngefans sama bu d ono
355,355,355,nama panjang raka adalah gibran rakabuming raka
356,356,356,bikin buku tentang raka bg
357,357,357,bang fisch update bang
358,358,358,sekarang bapaknya raka mau paus
359,359,359,melanjutkan kisah raka
360,360,360,orang gila mana yg narik kolosal squid pke rod bapuk
361,361,361,pls buatin animasi buat cerita budiono siregar
362,362,362,10405 anjayviewers bohongsosis yang bohong
363,363,363,blok fruits terlupakan
364,364,364,bang main game mouthwashing lagi plissss
365,365,365,udah yapping nya
366,366,366,bang coba main blood strike
367,367,367,ente yakin dia live
368,368,368,cumi jumbo
369,369,369,bang kok gak bisa di download vidio nya
370,370,370,bang dapetin ikan terbesar bang nessie sama isodanekalo dh dapat pigi ken the depths bg
371,371,371,bang ancient depth serpent jadiin ikan woyo woyo bang ancient depth serpent susah didapetin dan dia harus di tempat the depths dan harus di malam yang paling gelap
372,372,372,jual ke seafod bakaran aja cumi nya
373,373,373,rekomendasi ikan mythic dan tempat nya buat windah dapetin nanti di live selanjutnya yg masih lumayan gampang lah adacaptain goldfish di forsaken shores di atas tempat nya merchant dan lain lain kan ada tempat ke atas naek terus ada air terjun mancing disana pasti dapet sama manta ray ada di roslit bay bisa di mana aja
374,374,374,bang beli rod baru bang di the depth
375,375,375,gg bang besok pecahkan teori mancing godzila
376,376,376,kok bukan hiu madura
377,377,377,
378,378,378,fatimahnamanyaperangainya
379,379,379,bang windah imup d
380,380,380,
381,381,381,aku cinta raka
382,382,382,yg ngomong dapet cumi raksasa butuh aurora totem siapa njir
383,383,383,2650 gg bang
384,384,384,banh alligator di mushgrove swamp harus ditangkap bng
385,385,385,haloo
386,386,386,bg kamu gg
387,387,387,si raka kenapa gusy
388,388,388,gk bisa didownload vidionya
389,389,389,hi
390,390,390,halo bang
391,391,391,bang main game until then dong plis
392,392,392,agak kecewa karena full jalan jalan simulator kagak mancing mancing 
393,393,393,wkwkwkw niat pamer malah kena ulti bocil bocil pamer 
394,394,394,fice
395,395,395,bang coba main a universal time di roblox
396,396,396,window
397,397,397,stardew valley kapan
398,398,398,gg raka sang anak nelayan
399,399,399,bang kamu wajib cobain game mancing yg ada diplaystore namanya creature of the deep mirip sama game ini
400,400,400,4346
401,401,401,pantun kamu gak nyambung bang windah
402,402,402,big black what 
403,403,403,cumi terbang
404,404,404,bang main dragon nest
405,405,405,bang kapan main fc mobile lagi
406,406,406,bang windah request main game stalker 2 bang
407,407,407,2741 finnalyyyyyyyyy
408,408,408,fi ce
409,409,409,bang mukamu pucet banget waktu mancing cumi raksasa
410,410,410,itu rumah gua gais yg roboh yg dibilang bang windah diawal aokwowk doain cpt beres y adick adick roblok
411,411,411,pergi ke danau memancing ikanberjemur matahari menjadi hitamhai bocil roblox yg tampanjangan bermain roblox malam malam
412,412,412,020masa 
413,413,413,bg ak nontonnya sambil makan cumi cumi raksasa masak hytam
414,414,414,bang main di server jaya pura indahlah review senjata customada skil skillnya
415,415,415,fight school simulator nyaa mana bangg
416,416,416,kecewa saya sama abang kok saya mau download video abang kok gak bisa
417,417,417,cumi cuminya besar kayak punya aku
418,418,418,pantun ny bagus bg sy suka sy suka
419,419,419,kmprtt pdhl mntk lepas ak cumi itu ai dahh
420,420,420,tempat baru namanya the depth bang windah disana ada pancing baru namanya rod of the depth harga 750 ribu uang game bang windah
421,421,421,bang jadi lanjutin game alomani ga aku nungguin ia bang
422,422,422,ng kapan main gem blox fruit
423,423,423,bang coba main game ash echoes bang game rpg yang bagus 
424,424,424,itu yang pusar warna putih itu kalo pancing di situ bisa dapet ikan besar bang
425,425,425,aku bkan bocah roblox tapi aku cuma nonton doang
426,426,426,cari leviatan bang
427,427,427,3606 puncak komedi wkwkw
428,428,428,paling posibble ikan serpent bawah laut desolate deep
429,429,429,apasi bang pantun nya ga gitu
430,430,430,diteluk rosylit ada ikan pari sama gurita gemoy bang
431,431,431,yang susah ikan cumi snowcap ikan spectral serpent di desolate deep ikan paus event sama jellyfish di desolate deep juga
432,432,432,mencet apa itu bang biar ga harus nge klik pas di kocok
433,433,433,udah selesai ya live nya
434,434,434,mana avatar ikan kematian mu bang
435,435,435,batu
436,436,436,maen game pixel lgi bang
437,437,437,berarti lu gobloxs juga dong bang
438,438,438,itu
439,439,439,ambalodon itu nyata bangggg
440,440,440,minta dong winda
441,441,441,mita
442,442,442,bg main dress to impress lagi ada update btw aku cewek bang
443,443,443,itu
444,444,444,game aku
445,445,445,game apa
446,446,446,bg main game stalker2 chernobyl
447,447,447,raka bangga dengan penangkapan mitos cumi raksasa walau ikan woyo woyo belum terungkap raka sudah mendekati tahap mengungkapi ikan woyo woyo
448,448,448,grind xp di forsaken shores pond untuk xp
449,449,449,berburu godzilla bang di the depths
450,450,450,seru bg
451,451,451,hi bang maaf gak ajak live                                                  
452,452,452,hi bang maaf gak ajak live                                                  
453,453,453,bg coba main fishing planetitu ada disteam dan gratismenurutku lumyn seru dan grinding bgt
454,454,454,3528 epik moment
455,455,455,kapan pvz lagi bang
456,456,456,raka the movie
457,457,457,main game soul land bang
458,458,458,10515 gw kemarin juga dapet bbc bg
459,459,459,baru kemaren bilang bg kapan lanjut fisch eh yeyy di lanjut
460,460,460,gg raka bang
461,461,461,kapannn fc mobile bangg astagaa
462,462,462,cie mau 15 jt sub
463,463,463,lengkapin semuaa scene bang di game five hearts under one rooff
464,464,464,raka pay to win aowkoakwdkaowd
465,465,465,kamu melupakan legenda sukma dika satu satu nya eksistensi yang mampu melawan tarikan jor dari seorang budiono siregar
466,466,466,bang kamu pengocok handal
467,467,467,kata kata keramat hahaha punya gk
468,468,468,bg gw bisa kasih lu duit 250k dan enchant relic 5 tar gw bantuin lu dapetin trident rod
469,469,469,bang jangan pakai baju item ga kelihatan
470,470,470,kamu gg bang
471,471,471,aku pernah pas mancing terus di tarik kraken kraken nya skrg jadi khodam aku
472,472,472,eunbi
473,473,473,bang coba main creatures of the deep
474,474,474,bang coba main game agung arip yg terbaru  dong
475,475,475,kapal lawd
476,476,476,gg bang
477,477,477,bg pecahkan misteri nessydan hiu godzilla 
478,478,478,aku telat banggggggggg baru pulangggggggggggggg
479,479,479,bang kumbek coc bg
480,480,480,bang coba mainbang coba main satalker 2 seru game nya dari miawaug
481,481,481,hlo
482,482,482,3329  ada bang serius lu harus ke pusaran aneh abis tu ke paling bawah buat mancing kunci raksasa warna merah nah abis tu lu harus buka pintu gede pake kunci gede yang tadi nah abis tu jalan aja nah lu di situ mancing aja bisa dapet lele jumbo atau gak godzilla
483,483,483,memancing perkoro
484,484,484,game jelek ini bang windah
485,485,485,windah kata kata windah morivasi
486,486,486,0000 epilx
487,487,487,2931 wih gg bg dapat peta
488,488,488,raka suka memancing memainkan alat kencing 
489,489,489,semoga bang windah selalu sehat aamiin 
490,490,490,bang abang mau ga terima add ku bang namaripaska bang terima yang bang
491,491,491,aku tantang kmu pasti gk bisa dapetin naga air kuno eksotik di kedalaman 
492,492,492,kerja bagus bang yang semangat bang windhaa jangan sering maen roblox nanti gobloxxx
493,493,493,bentar lagi 15jt bng gak sabar sawer streamer lagi
494,494,494,bang kamu ganteng banget kayak joseph stallin
495,495,495,bang knpa vidio main roblox fisch gk bisa di download
496,496,496,hahahaha dapet otong raksasa
497,497,497,2652 epik moment bgt bgt gwe smp nangis sekebon
498,498,498,bang bang windah pin dong plis
499,499,499,bg upgrade ikan nya biar makin besar
500,500,500,bang kapan react skibidi toilet  lagi
501,501,501,ikan ambaus mana bg itu katanya salah satu ikan legendaris
502,502,502,bang coba jadi nelayan di real life
503,503,503,main game aku si juragan kostan banggseserver sama aku si peternak lele
504,504,504,pantun abcd berulah lagi
505,505,505,yaelah telat baru aja ambil makan liat youtube km udah selesai live 
506,506,506,15 juta subs bentar lagii
507,507,507,15 juta subs bentar lagii
508,508,508,100 rb lebih 
509,509,509,2653 gg sekali coba
510,510,510,terlambat ga bang
511,511,511,cumi cumi segede kanjut badak
512,512,512,bang vidio nya gak bisa di download
513,513,513,omg
514,514,514,bang kenapa videonya ga bisa di donlod
515,515,515,bang vidio nya gak bisa di download
516,516,516,kemana hiu madura
517,517,517,hei adik jangan seringsering main robloxnanti kamu jadi goblok aowkawok
